,sentence,tag
1,Attacks can damage public domain,B-attack O O B-system I-system
2,IDS means Intrusion Detection,B-tool O B-technique I-technique
3,Snort is used for Intrusion Detection,B-tool O O O B-technique I-technique
4,Snort can detect network attacks,B-tool O O B-attack I-attack
5,Snort can also be used as a simple packet logger,B-tool O O O O O O O B-tool I-tool
6,Snort can analyze real time traffic,B-tool O O O O B-data
7,Snort can analyze real time data flow,B-tool O O O O B-feature I-feature
8,Snort can check protocol analysis,B-tool O O B-technique I-technique
9,Snort can detect different types of attacks,B-tool O B-technique O O O B-attack
10,Snort checks the packet against user rules,B-tool O O B-data O B-function I-function
11,Snort rules can be written in any language,B-function I-function O O O O O B-feature
12,Snort rules have good structure,B-function I-function O O O
13,Snort match previous attack pattern,B-tool O B-feature B-feature B-feature
14,Snort checks the network behavior,B-tool O O B-feature B-feature
15,Snort can discard the bad packet,B-tool O O O B-data I-data
16,Snort has a Packet Decoder,B-tool O O B-tool I-tool
17,Packet Decoder forms the packets,B-tool I-tool O O B-data
18,Packet Decoder determines the underlying protocols,B-tool I-tool O O O B-feature
19,Packet Decoder determines packet data size,B-tool I-tool O B-data B-feature I-feature
20,Packet Decoder looks for header anomalies,B-tool I-tool O O B-vulnerability I-vulnerability
21,Snort has a Preprocessor,B-tool O O B-tool
22,Preprocessor verify HTTP anomalies,B-tool O B-vulnerability I-vulnerability
23,Preprocessor verify FTP anomalies,B-tool O B-vulnerability I-vulnerability
24,Preprocessor can modify packet data,B-tool  O O B-data I-data
25,Snort has Detection Engine,B-tool O B-tool I-tool
26,Detection Engine detects intrusion in packet,B-tool I-tool B-technique B-attack O B-data
27,Detection Engine chains the rules,B-tool I-tool O O B-function
28,Snort has Log Alert system,B-tool O B-tool I-tool I-tool
29,Snort has Output Module,B-tool O B-tool I-tool
30,Output Module controls output type,B-tool I-tool O B-feature B-feature
31,Output Module sends alerts,B-tool I-tool O B-feature
32,Snort set into Sniff mode,B-tool O O B-feature I-feature
33,Snort can sniff the Ingress,B-tool O B-technique O B-feature
34,Snort can sniff the Egress,B-tool O B-technique O B-feature
35,Ingress captures incoming traffic,B-feature O B-data I-data
36,Snort sniffs firewall traffic,B-tool B-technique B-data I-data
37,Snort has packet logger,B-tool O B-tool I-tool
38,The packet logger collects data as file,O B-tool I-tool O B-data O B-data
39,Snort can output tcpdump pcap,B-tool O O B-data I-data
40,Snort can output unified2,B-tool O O B-tool
41,Wireshark can read tcpdump pcap,B-tool O O B-data I-data
42,Detection alert is added to IP packets,B-tool I-tool O O O B-data I-data
43,Snort rules is tested using icmp rules,B-function I-function O O O B-function I-function
44,Snort rules is tested using system variables,B-function I-function O O O B-data I-data
45,system variables can be edited in conf file,B-data I-data O O O O B-data I-data
46,system variables can be set as home network,B-data I-data O O O O B-system I-system
47,system variables can be set external network,B-data I-data O O O B-system I-system
48,Snort rules is tested using payload options,B-function I-function O O O B-feature I-feature
49,payload options shows captured data,B-feature I-feature O O B-data
50,Snort rules is tested using non payload options,B-function I-function O O O B-feature I-feature I-feature
51,Network is set as client gateway server,B-system O O O B-system I-system I-system
52,Packet forwarding enabled on Gateway,B-feature I-feature O O B-system
53,Firewall set to sniff server,B-tool O O B-technique B-system 
54,Firewall disabled for testing,B-tool O O B-function
55,Blacklist enabled for testing,B-feature O O B-function
56,Land Attack sends spoofed TCP SYN Packets,B-attack I-attack O B-vulnerability B-data I-data I-data
57,Nmap is an open source tool,B-tool O O B-feature I-feature B-tool
58,Nmap is used for network discovery,B-tool O O O B-technique I-technique
59,Nmap is used for security auditing,B-tool O O O B-technique I-technique
60,Nmap displays exposed services on a target machine along with other useful information such as the version and OS detection,B-tool O B-vulnerability B-app O O B-system I-system O O O O B-data O O O B-technique O B-technique I-technique
61,Use nmap to send customized packets for network diagnostic and testing,O B-tool O O O B-data O  B-technique I-technique O  B-function
62,Use nmap to send customized packets for emulating attacks,O B-tool O O O O B-data O O B-attack 
63,Nmap is a network mapper that has emerged as one of the most popular free network discovery tools on the market,B-tool O O B-feature I-feature O O O O O O O O O O O B-technique I-technique B-tool O O O
64,Nmap is now one of the core tools used by network administrators to map their networks,B-tool  O O O O O O B-tool O O B-securityTeam I-securityTeam O B-function O B-system
65,The program can find live hosts on a network perform port scanning ping sweeps OS detection and version detection,O B-function O O B-system I-system O O B-system O O B-technique I-technique O B-technique I-technique O B-technique I-technique O O B-technique I-technique O
66,What is Nmap?,O O B-tool O
67,Nmap is a network scanning tool that uses IP packets to identify all the devices connected to a network and provide information on the services and operating systems they are running,B-tool O O B-technique I-technique B-tool O O B-data I-data O O O O B-system O O O B-system O O B-data O O B-app O B-system I-system O O O
68, The program is most commonly used via a command-line interface though GUI front-ends are also available,O O O O O O O O B-tool I-tool O B-tool I-tool O O O
69,It is available for many different operating systems such as Linux Free BSD and Gentoo,O O O O O O B-system I-system O O B-system B-system I-system O B-system
70,Nmap was developed for enterprise-scale networks and can scan through thousands of connected devices,B-tool O O O B-system I-system I-system O O B-function O O O B-system I-system
71,Moreover Nmap has been increasingly used to inspect IoT security,O B-tool O O O O O O B-technique I-technique
72,Nmap provides information on every active IP so you can determine if an IP is being used by a legitimate service or an external attacker,B-tool O B-data O O B-feature B-feature O O O O O O B-feature O O O O O B-feature B-app O O B-attacker I-attacker
73,Your network as a whole including live hosts open ports and the OS of every connected device,O B-system O O O O B-system I-system B-feature I-feature O O B-system O O B-system I-system
74,Vulnerabilities scan your own server to simulate the process that a hacker would use to attack your site,B-vulnerability B-function O O B-system O O O B-technique O O B-attacker O O O B-attack O B-system
75,The primary uses of Nmap can be broken into three core processes,O O O O B-tool O O O O O O B-technique
76,First the program gives you detailed information on every IP active on your networks and each IP can then be scanned,O O O O O O B-data O O B-feature B-feature O O B-system O O B-feature O O O B-function
77,"This allows administratorsto check whether an IP is being used by a legitimate service or an external attacker",O O B-securityTeam O O O O B-feature O O O O O B-feature I-feature O O B-attacker I-attacker
78,Secondly Nmap provides information on your network as a whole,O B-tool O B-data O O B-system O O O
79,It can be used to provide a list of live hosts and open ports and identify the OS of every connected device,O O O O O O O O O B-system I-system O B-feature I-feature O O O B-system O O B-system I-system
80,This makes it a valuable tool in ongoing system monitoring and a critical part of pentesting,O O O O O B-tool O O B-technique I-technique O O O O O B-technique
81,Nmap can be used alongside the Metasploit framework for instance to probe and then repair network vulnerabilities,B-tool O O O O O B-tool I-tool O O O B-technique O On O B-vulnerability I-vulnerability
82,Thirdly Nmap has also become a valuable tool for users looking to protect personal and business websites,O B-tool O O O O O B-tool O B-user O O O B-system O B-system I-system
83,Using Nmap to scan your own web server particularly if you are hosting your website from home is essentially simulating a hacker process to attack your site,O B-tool O B-technique O O B-system I-system O O O O B-feature O B-system  O B-system O O O O B-attacker B-technique O B-attack O B-system
84,Attacking your own site in this way is a powerful way of identifying security vulnerabilities,B-attack O O B-system O O O O O O O O O B-vulnerability I-vulnerability
85,Nmap is straightforward to use and most of the tools it provides are familiar to system admins from other programs,B-tool O O O O O O O O B-tool O O O O O  B-securityTeam I-securityTeam O O B-function
86,Nmap advantage is that it brings a wide range of these tools into one program rather than forcing you to skip between separate and discrete network monitoring tools,B-tool O O O O O O O O O O B-tool O O B-function O O O O O O O O O O B-technique I-technique B-tool
87, To use Nmap you need to be familiar with command-line interfaces, O O B-tool O O O O O O B-tool I-tool I-tool
88,Most advanced users can write scripts to automate common tasks but this is unnecessary for basic network monitoring,O O B-user O O B-function O B-feature O O O O O O O O B-technique I-technique
89,TCP Full Connect Vanilla Scan,B-technique I-technique I-technique I-technique I-technique
90,we assume that the scanning targetâs IP address ,O O O O B-technique B-system B-feature I-feature
91,TCP Connect scan completes the 3-way handshake,B-technique I-technique I-technique O O B-technique I-technique 
92,If a port is open the operating system completed the TCP three-way handshake and the port scanner immediately closes the connection to avoid DOS ,O O B-feature O B-feature O B-system I-system O O B-feature B-technique I-technique I-technique O O B-tool I-tool O O O B-feature O O B-attack 
93,"This is ""noisy because the services can log the sender IP address and trigger Intrusion Detection Systems",O O B-feature O O B-feature O B-function O B-system B-feature I-feature O O B-tool I-tool I-tool
94,the Full scan has the following features,O B-technique I-technique O O O O
95,Attempts to completes 3-way handshake with each scanned port,O O O B-technique I-technique I-technique O O B-vulnerability B-feature
96,Sends SYN and waits for ACK before sending ACK,B-function B-feature O O O B-feature O B-function B-feature
97,Tears down connection using FIN packets,B-feature I-feature B-feature O B-data I-data
98,If target port is closed sender will received either no response a RESET packet  or an ICMP Port Unreachable packet,O B-feature I-feature O B-feature O B-system O B-function O O B-feature O O B-data I-data O O On B-data I-data I-data I-data
99,Not stealthy the connection request can be logged,O B-vulnerability O B-feature I-feature O O B-function
100,UDP scan checks to see if any UDP ports are listening ,B-technique I-technique O O O O O B-feature I-feature O B-feature 
101,Since UDP does not respond with a positive acknowledgment like TCP and only responds to an incoming UDP packet when the port is closed this type of scan can sometimes show false positives ,O B-feature O O B-feature O O B-feature I-feature O B-feature O O B-feature O O B-feature B-data I-data O O B-feature O B-feature O O O B-technique O O O B-feature I-feature 
102,However it can also reveal Trojan horses running on high UDP ports and hidden RPC services,O O O O B-feature B-attack I-attack O O B-feature I-feature I-feature  O B-vulnerability I-vulnerability I-vulnerability
103,It may be quite slow since some machines intentionally slow down responses to this kind of traffic to avoid being overwhelmed ,O O O O O O O B-system O B-feature I-feature I-feature O O O O B-data O O O O 
104,Machines running Windows OS however do not implement this slowdown feature so you should use UDP to scan Windows hosts normally,B-system O B-system I-system O O O O O B-feature I-feature O O O O B-feature O B-technique B-system B-system  O
105,The UDP Scan sends a UDP packet to target ports to determine if a UDP service is listening,O B-technique I-technique O O B-data I-data O B-feature I-feature O O O O B-feature I-feature O B-feature
106,If the target system returns an ICMP Port Unreachable message the target port is closed Otherwise the target port is assumed to be open,O O B-system I-system O O B-data I-data I-data I-data O B-feature I-feature O B-feature O O B-feature I-feature O O O O B-feature
107,UDP scan is unreliable since there may be false positives,B-technique I-technique O O O O O O B-feature I-feature
108,The UDP scan can be very slow due to the following reasons,O B-technique I-technique O O O B-feature O O O O O
109,Open and filtered ports rarely send any response leaving Nmap to time out,B-feature O B-feature I-feature O B-function O B-feature O B-tool O B-feature I-feature
110,Closed ports usually send back an ICMP port unreachable error But many hosts rate limit ICMP port unreachable messages by default eg 1/sec,B-feature I-feature O O O O B-data I-data I-data I-data O O B-system B-technique I-technique B-data I-data I-data I-data O B-feature O O
111,To speed up the UDP scan Increase host parallelism use min-hostgroup to scan multiple hosts at once,O O O O B-technique I-technique O B-feature I-feature O B-feature I-feature O B-technique O B-system O O
112,Scan popular ports first using the -F option to scan the most common UDP ports,B-technique O B-feature O O O O O O B-technique O O O B-feature I-feature
113,Add version-intensity 0 to version detection scans,O B-feature I-feature O O B-technique I-technique B-technique
114,Scan from behind the firewall,B-technique O B-feature I-feature I-feature 
115,Use host-timeout to skip slow hosts,O B-feature I-feature O O B-system I-system
116,Use -v verbosity and chill out Nmap provides estimated time for scan completion of each host,O O B-feature O B-feature I-feature B-tool O O O O B-technique O O O B-system
117,SYN scan is another form of TCP scanning ,B-technique I-technique O O O O B-technique I-technique 
118,Rather than using the operating systemâs network functions the port scanner generates raw IP packets and monitors for responses ,O O O O B-system I-system  B-function I-function O B-tool I-tool O B-data I-data I-data O B-technique O B-feature 
119,This scan type is also known as â€œhalf-open scanning because it never actually opens a full TCP connection ,O B-technique O O O O O B-technique I-technique O O O O B-feature O B-feature I-feature I-feature 
120,The port scanner generates a SYN packet ,O B-tool I-tool O O B-data I-data 
121,If the target port is open it will respond with an SYN-ACK packet,O O B-feature I-feature O B-feature O O B-feature O O B-data I-data 
122,The scanner host responds with an RST packet closing the connection before the handshake is completed,O B-tool B-system B-feature O O B-data I-data B-feature O B-feature O O B-technique O O
123,If the port is closed but unfiltered the target will instantly respond with an RST packet ,O O B-feature O B-feature O B-feature O B-system O O B-feature O O B-data I-data 
124,There is debate over which scan is less intrusive on the target host ,O O O O O B-technique O O B-attack O O B-system I-system
125,SYN scan has the advantage that the individual services never actually receive a connection,B-technique I-technique O O O O O O B-feature O O B-function O B-feature
126,Only sends the initial SYN and waits for ACK to detect open port,O O O O B-feature O O O B-feature O B-technique B-feature I-feature
127,SYN scans stop two-thirds of the way through the 3-way handshake aka half-open scan,B-technique I-technique O O O O O O O B-technique I-technique O B-technique  I-technique
128,Attacker sends a RESET RST after receiving an SYN-ACK response,B-attacker O O B-feature I-feature O B-feature O B-feature I-feature 
129,A true connection is never established thus the target may not log the connection,O O B-feature O O B-feature O O B-system O O B-function O B-feature
130,Faster and stealthier than a full TCP Connect scans,O O B-vulnerability O O B-technique I-technique I-technique I-technique
131,If the target port is closed the destination will send a RESET or nothing,O O B-feature I-feature O B-feature O B-system O O O B-feature O O
132,SYN flood may cause accidental denial-of-service attacks if the target is slow,B-attack I-attack O O B-attack B-attack I-attack O O B-system O B-feature
133,FIN scan is a stealthy scan like the SYN scan but sends a TCP FIN packet instead ,B-technique I-technique O O B-technique I-technique O O B-technique I-technique O B-function O B-data I-data I-data O
134,Most but not all computers will send an RST packet back if they get this input so that the FIN scan can show false positives and negatives but it may get under the radar of some IDS programs and other countermeasures,O O O O O O O O B-data I-data O O O O O B-feature O O O B-technique I-technique O O B-feature I-feature O B-feature O O O O O O O O O B-tool B-function O O O
135,Ack scanning determines whether the port is filtered or not ,B-technique I-technique O O O B-feature O B-feature O O 
136,This is especially good when attempting to probe for the existence of a firewall and its rulesets ,O O O O O O O B-technique O O O O O B-tool O O B-function 
137,Simple packet filtering will allow established connections packets with the ACK bit set whereas a more sophisticated stateful firewall might not,O B-technique I-technique O O B-feature I-feature B-data O O I-data I-data O O O O O B-feature B-tool O O
138,ACK scan Sends a packet with the ACK code bit set to each target port,B-technique I-technique O O B-data O O B-data I-data I-data I-data O O B-feature I-feature
139,Allows the attacker to get past some packet filtering devices,O O B-attacker O O O O B-technique I-technique B-system 
140,Allows the attacker to determine what kind of established connections a firewall or router will allow into a network by determining which ports through a firewall allow established connection responses,O O B-attacker O O O O O B-feature I-feature O B-tool O B-system O O O O B-system O O O B-feature O O B-tool O B-feature I-feature B-feature
141,"If no response or an ICMP Port Unreachable message is returned Nmap will label the target port as ""filtered meaning that a packet filter is blocking the response",O O B-feature O O B-data I-data I-data I-data O O B-tool O O O B-feature I-feature O B-feature O O O B-technique I-technique O B-feature O B-feature
142,Another very stealthy scan that sets all the TCP header flags to off or null ,O O B-technique I-technique O O O O B-feature I-feature I-feature O O O O 
143,This is not normally a valid packet and some hosts will not know what to do with this,O O O O O O B-data O O B-system  O O O O O O O O
144,Windows operating systems are in this group and scanning them with NULL scans will produce unreliable results ,B-system I-system I-system O O O O O B-technique O O B-technique I-technique O O O O 
145,However for non-Windows servers protected by a firewall this can be a way to get through,O O B-system I-system O O O B-tool O O O O O O O O
146,XMAS scan is similar to the NULL scan except for all the flags in the TCP header is set to on ,B-technique I-technique O O O O B-technique I-technique O O O O B-feature O O B-feature I-feature O O O O 
147,Windows machines wonât respond to this due to the way their TCP stack is implemented ,B-system I-system O B-feature O O O O O O Oir B-feature I-feature O O 
148,"Xmas scans derive their name from the set of flags that are turned on within a packet ",O O O O O O O O O B-feature O O O O O O B-data 
149,These scans are designed to manipulate the PSH URG and FIN flags of the TCP header,O B-technique O O O O O B-feature B-feature O B-feature I-feature O O B-feature I-feature
150,RPC scan is special type of scan looks for machines answering to RPC Remote Procedure Call services ,B-technique I-technique O O O O B-technique O O B-system O O B-function B-function I-function I-function B-apps 
151,RPC which allows remote commands to be run on the machine under certain conditions can be a dangerous service,B-function O O B-function I-function O O O O O B-system  O O O O O O O B-feature
152,Since RPC services can run on many different ports it is hard to tell from a normal scan which ones might be running RPC ,O B-app I-app O O O O O B-feature O O O O O O O O B-technique O O O O O B-function
153,This scan will probe the ports found open on a machine with commands to show the program name and version if RPC is running ,O B-technique O B-technique O B-feature O B-feature O O B-system O B-function O O O B-function B-feature O B-feature O B-function O O 
154,Itâs not a bad idea to run one of these scans every often to find out if and where you have these services running,O O O O O O B-function O O O B-technique O O O O O O O O O O O B-feature B-function
155,Scans RPC services using all discovered open TCP/UDP ports on the target to send RPC NULL commands ,B-technique B-app I-app O O O B-feature B-feature I-feature O O B-system O O B-function I-function I-function
156,Tries to determine if an RPC program is listening at the port and identifies type of RPC program,O O O O O B-function B-function O B-feature O O B-feature O O O O B-function B-function
157,IDLE scan is a super stealthy method whereby the scan packets are bounced off an external host,B-technique I-technique O O O B-technique I-technique O O B-technique B-data O O O O B-system I-system
158,You donât need to have control over the other host but it does have to set up and meet certain requirements ,O O O O O O O O O B-system O O O O O O O O O O B-feature 
159,"You must input the IP address of our ""zombie host and what port number to use",O O O O B-feature I-feature O O B-system I-system O O B-feature I-feature O O
160,It is one of the more controversial options in Nmap since it really only has a use for malicious attacks,O O O O O O O O O B-tool O O O O O O O O B-attack I-attack
161,Probe the zombieâs IP ID and record it Forge an SYN packet from the zombie and send it to the desired port on the target,B-technique O B-system B-feature I-feature O O O B-vulnerability O B-data I-data O O B-system O O O O O O B-feature O O B-system
162,Depending on the port state the targetâs reaction may or may not cause the zombieâs IP ID to be incre- mented,O O O B-feature I-feature O B-system O O O O O O O B-system B-feature I-feature O O O
163,Probe the zombieâs IP ID again The target port state is then determined by comparing this new IP ID ,B-technique O B-system B-feature I-feature O O B-system B-feature I-feature O O O O O O O B-feature I-feature
164,NSE stands for Nmap Scripting Engine,B-tool O O B-tool I-tool I-tool
165,and it is basically a digital library of Nmap scripts that help enhance the default Nmap features and report the results in a traditional Nmap output,O O O O O O O O B-function I-function O O O O B-feature B-tool B-feature O O O O O O O B-tool B-feature
166,You can also write and share your own scripts so youâre not limited to relying on the Nmap default NSE scripts,O O O O O O O O B-function O O O O O O O O B-tool B-feature B-function I-function
167,The only requirement for you to write these scripts is that they must be coded using the Lua programming language,O O O O O O O O B-function O O O O O O O O B-tool I-tool I-tool
168,Four different types can help us enhance the default Nmap features depending on the target and the scanning phase in which they are run,O O O O O O O O B-feature B-tool O O O O B-system  O O B-technique O O O O O B-function
169,Prerule scripts are types of scripts run before the rest of any scanning operation while Nmap doesnât have any data about the remote target,B-function I-function O O O B-function O O O O O O B-technique O O B-tool O O O B-data O O B-system I-system
170,Once the Nmap default scan has finished the host exploration detection port scanning or software discovery it will perform the host scripts,O O B-tool B-feature B-technique O O O B-system B-technique B-technique B-technique I-technique O B-technique I-technique O O O O B-function I-function
171,Service scripts are a particular set of Nmap scripts that are run against services on the remote host,B-function I-function O O O O O B-function I-function O O B-function O B-feature O O B-system I-system
172,These include HTTP service scriptsfor example which can be run against web servers,O O B-function I-function I-function O O O O O B-function O B-system I-system
173,Postrule scripts are run after the entire Nmap scan has finished and are often useful for parsing formatting and presenting the different results,B-function I-function O B-function O O O B-technique I-technique O O O O O O O B-function B-function O O O O O
174,When dealing with over 600 default Nmap scripts it is not easy to find the most popular ones by inspecting them one by one ,O O O O O B-feature B-function I-function O O O O O O O O O O O O O O O O 
175,auth script - All sorts of authentication and user privilege scripts,B-function I-function O O O O B-technique  O B-feature I-feature B-function
176,broadcast script - Network discovery scripts that use broadcast petitions for intel gathering,B-function I-function  O B-technique I-technique B-function O O B-feature O O B-system O
177,brute script - Set of scripts for performing brute force attacks to guess access credentials,B-function I-function O O O B-function O O B-attack I-attack I-attack O O B-feature I-feature
178,default script - The most popular Nmap scripts using -sC by default,B-function I-function O O O O B-function I-function O O O B-feature
179,discovery script  - Scripts related to network discovery service discovery and host discovery,B-function I-function  O  B-function O O B-technique I-technique B-technique I-technique O B-technique I-technique
180,dos script - Denial of service attack scripts used to test and perform DOS and floods,B-function I-function O B-attack I-attack I-attack I-attack B-function O O B-function O B-function B-attack O B-attack
181,exploit script - Used to perform service exploitation on different CVEs,B-function I-function O  O O O B-technique I-technique O O B-vulnerability
182,external  script -  Scripts that rely on 3rd party services or data,B-function I-function O  B-function O O O B-app I-app I-app O B-data
183,fuzzer script - Used to perform fuzzing attacks against apps services or networks,B-function I-function O O O B-function B-attack I-attack O B-app B-app O B-system
184,intrusive script -  All the aggressiveâ scripts that cause a lot of network noise,B-function I-function O  O O B-feature B-function O O O O O B-feature I-feature
185,malware  script - Malware detections and exploration scripts,B-function I-function O B-technique I-technique O B-technique B-function
186,safe script - Safe and non-intrusive or noisy scripts,B-function I-function O  B-feature O B-feature O B-feature B-function
187,version script - OS service and software detection scripts,B-function I-function O B-system O B-app O B-technique I-technique B-function
188,vuln script - The Nmap vuln category includes vulnerability detection and exploitation scripts,B-function I-function O O B-tool B-vulnerability O O B-technique I-technique O B-technique B-function
189,The following is the output of scanning the Metasploitable 2 host,O O O O B-feature O B-technique O B-system I-system I-system
190,Nmap also allows you to run scripts using wildcards meaning you can target multiple scripts that finish or end up with any pattern ,B-tool O O O O B-function B-function O B-function O O O O O B-function O O O O O O O O 
191,For example if you want to run all the scripts that begin with FTPâ you could use this syntax,O O O O O O B-function O O B-function O O O B-feature O O O O B-feature
192,This is the perfect solution when you already know which script is going to be used ,O O O O O O O O O O B-function O O O O O 
193,if we want to run the HTTP-brute script to perform brute force password auditing against HTTP basic digest and ntlm authentication ,O O O O O O B-function I-function O O B-function I-function B-feature B-technique O B-feature I-feature B-function O B-technique  I-technique
194,NSE has the ability to let you write your own scripts and run those scripts locally in your operating system ,B-tool O O O O O O O Or O B-function O B-function O B-function B-feature O O B-system I-system 
195,Firewall Intrusion Prevention Systems IPS and Intrusion Detection Systems IDS are only as robust as you configure them for your perimeter security needs,B-feature B-tool I-tool I-tool  I-tool O O B-tool I-tool I-tool I-tool O O O O O O B-function O O O B-technique I-technique O
196,Where they reside on your network how they interact and improving Penetration Pen Testing services is key to having a strong defensive perimeter for your organization,O O O O O B-system O O O O O B-technique I-technique I-technique I-technique O O O O O O B-technique I-technique O O B-system
197,IDS network security and IPS security along with Firewall leveraging can help provide this,B-technique I-technique I-technique O B-technique I-technique O O B-tool O O O O O
198,Cyberinfrastructures using prevention platforms require both regularly scheduled performance assessments and changing topology etc,B-system O B-technique B-system O O O O B-technique I-technique O O B-feature O
199,Most industry-standard institutes recommend even more frequent assessments,O O O O O O O B-technique
200,It is advised to change your current devices around at a certain frequent level,O O O O O O O B-system O O O O O O
201,If they are always static on-going cybercriminals learn how they always sit on your perimeter and eventually hack them after long periods in scanning for weaknesses,O O O O B-feature O B-attacker O O O O O O O O O O B-attack O O O O O B-technique O B-vulnerability
202,When performing pentest against your own networks basically you are evading your own security systems,O O B-technique O O O B-system O O O B-technique O O B-system I-system
203,We usually refer to these self-targeted evading activities as ethical hacking and perform the pentesting as â'white- hats',O O O O O B-technique I-technique I-technique I-technique O B-technique I-technique O O O B-technique O B-securityTeam
204,Pentesting helps understand the danger of real attackers,B-technique O O O O O O B-attacker
205,If you can sneak around a blocked portmapper port using Nmap direct RPC scanning then so can the bad guys,O O O O O O B-feature B-tool B-feature O B-tool O B-technique I-technique O O O O B-attacker I-attacker
206,It is easy to make a mistake in configuring complex firewalls and other devices,O O O O O O O O B-function O B-tool O O B-system
207,Many of them even come with glaring security holes that conscientious users must find and close,O O O O O O O B-vulnerability I-vulnerability O O B-user O O O O
208,Regular network scanning can help find dangerous implicit rules before attackers do,O B-technique I-technique O O O O O B-function O B-attacker O
209,There are good reasons for evading IDS as well Product evaluation is one of the most common,O O O O O B-technique B-tool O O B-technique I-technique O O O O O O
210,If attackers can slide under the radar by simply adding an Nmap flag or two the system does not offer much protection,O B-attacker O O O O O O O O O B-tool B-feature O O O B-system  O O O O B-feature
211,Pentesting tools such as Nmap and Metasploit offer many features for evading firewall rules or sneaking past IDSs,B-tool I-tool O O B-tool O B-tool O O O O B-technique B-function I-function O B-technique I-technique B-tool
212,These capabilities allow bad guysâ to misuse it for evilâ purposes,O O O B-attacker I-attacker O O O O O O
213,However from the administrator perspectives mimicking attackersâ behaviors and actions maybe the best that they can do toidentify security holes before attackers do,O O O B-securityTeam O O B-attacker O O O O O O O Oy O O O O B-vulnerability I-vulnerability O B-attacker O
214,This lab is by-no-mean the utterly and eagerly promoting Nmap and Metasploit,O O O O O O O O O B-tool O B-tool
215,It simply introduces the beginning level of cyber defenders,O O O O O O O  B-securityTeam I-securityTeam
