,sentence,tag
216,to start their network security endeavors in the area of penetration testing,O O O B-technique I-technique O O O O O B-technique I-technique
217,since we know pentesting represents the art of cybersecurity,O O O B-technique O O O O B-technique
218,deep understanding of the given security system,O O O O O B-system I-system
219,The goal of this pentest is to assess the firewall rule setup and IDS system ,O O O O B-technique O O B-technique O B-function I-function B-system O B-tool I-tool 
220,In this pentest we apply the white-box testing strategy in which a white-box tester has the access and knowledge levels of the system admin including the knowledge of iptables firewall rules and snort rules setup,O O B-technique O O O B-technique I-technique I-technique O O O  B-securityTeam I-securityTeam O O O O O O O O  B-securityTeam I-securityTeam O O O O B-feature B-function I-function O B-function I-function B-system
221,The goal of the pentest is to explore the configuration issues of iptables and snort ie identify the system weakness due to configuration flaws ,O O O O B-technique O O O O B-feature O O B-feature O B-tool O O O B-system B-vulnerability O O B-vulnerability I-vulnerability 
222,This means that the pen tester knows the iptables and snort configurations and networking system setup,O O O O  B-securityTeam I-securityTeam O O B-app O B-tool B-feature O B-system I-system I-system
223,During the pen test the pen tester can monitor the actions or output of iptables and snort,O O B-technique I-technique O B-securityTeam I-securityTeam O B-technique O O O B-feature O B-feature O B-tool
224,The pen tester tries to explore vulnerabilities focusing on two areas,O B-securityTeam I-securityTeam O O B-technique B-vulnerability O O O O
225,System configurations - firewall setup such as open close filter unfilter ports reachable services or nodes firewall performance measurements etc,B-feature I-feature O B-tool B-system O O B-feature B-feature B-feature  B-feature B-feature O B-app O B-system B-tool B-technique I-technique O
226,IDS setup such as detection threshold setup success and missed attack scenarios etc,B-tool B-system O O B-feature I-feature I-feature O O O B-attack I-attack O
227,Vulnerabilities There is one Metasploitable-2 VM running behind the firewall,B-vulnerability O O O B-system B-system B-function O O B-tool 
228,The pen tester is required to assess the security performance of the firewall and IDS on successfully stop and/or detect deployed attacks,O B-securityTeam I-securityTeam O O O B-technique O B-technique I-technique O O B-tool O B-tool O O O O B-technique B-function B-attack
229,Location: The pen tester explores the configuration vulnerabilities from outside ie on the client network,O O  B-securityTeam I-securityTeam O O B-vulnerability I-vulnerability O O O O O B-system I-system
230,Assessment: The pen tester needs to develop a pentest report based on the provided template and provide suggested changes or remediation of firewall and IDS rules to maximally improve the system security ,B-technique O O  B-securityTeam I-securityTeOm O O O O B-technique O O O O O B-feature O O O chOnges O O O B-tool O B-tool B-function O O O O B-technique I-technique 
231,Note that the Metasploitable 2 is used for assessing the firewall and IDS ,O O O B-system I-system O O O B-technique O B-tool O B-tool
232,Note that your pentest focus is to inspect and assess the security strength of the firewall and IDS,O O O B-technique O O O B-technique O B-technique O B-technique O O O B-tool O B-tool
233,Please do not try to resolve any vulnerable issues running on Metasploitable 2 which is purposely designed for pentesting,O O O O O B-technique O B-vulnerability I-vulnerability O O B-system I-system O O O O O B-technique
234,Tools: The pen tester can use various tools provided in the given client VM such as Nmap hping3 MSF Metasploit framework tcpdump etc ,O O  B-securityTeam I-securityTeam O O O O O O O O B-system I-system O O B-tool B-tool B-tool I-tool I-tool B-tool O 
235,It should be sufficient to use these tools for this lab,O O O O O O O B-tool O O O
236,However you can use or develop your own tools and testing scripts to perform the security testing,O O O O O O Or O B-tool O B-function B-function O B-function O B-technique I-technique
237,You should perform your pentesting tasks on the client machine,O O O O B-technique O O O B-system I-system
238,You can run various tools such as ping traceroute nmap hpings msfconsole etc on the client node,O O O O B-tool O O B-tool B-tool B-tool B-tool B-tool O O O B-system I-system
239,Gateway Node Ubuntu 1804 You need to run iptables firewall and snort to protect the server node based on provided iptables and snort configuration files,B-system I-system B-system I-system O O O B-function B-app B-tool O B-tool O B-feature O B-system I-system O O O B-app O B-tool B-data I-data
240,You can download the iptables configuration files and snort rule files using the following commands,O O O O O B-app B-data I-data O B-function I-function B-data O O O B-function
241,They are shell scripts ,O O B-function I-function 
242,To make them executable you can change their permission,O O O O O O O O B-feature
243,you need to change the parameter setup at the beginning of the pentest and reset based on your lab running environment ie  three  interfaces  and  IP addresses,O O O O O B-feature I-feature O O O O O B-technique O B-feature O O O O O O O  O B-app O B-feature I-feature
244,make sure you have set up your default GW properly on each VM,O O O O O O O B-feature O  O O O B-system O
245,Server Node Metastploitable 2,B-system I-system B-system I-system
246,details on Metasploitable 2 especially the vulnerable services running on it ,O O B-system I-system O O B-vulnerability B-app O O O 
247,You do not need to make any changes or adjustments on the provided Metasploitable 2 virtual machine in this lab,O O O O O O O O O O O O O B-system I-system B-system I-system O O O
248,In this lab iptables snort Nmap and Metasploit are four major security services and tools that you will use ,O O O B-feature B-tool B-tool O B-tool O O O B-app I-app O B-tool O O O O 
249,Iptables firewall Snort IDS ,B-feature B-tool B-tool I-tool
250,demonstrate how to successfully deploy attacks through the firewall ,O O O O B-function B-attack O O B-tool 
251,you need to successfully exploit at least two vulnerabilities to compromise the targeted service or application,O O O O B-function O O O B-vulnerability O O O B-app I-app O B-app
252,stop the service gain access to the command shell modify data or service parameters steal critical data modify system configuration or setup ,O O B-app O B-feature O O B-tool I-tool O B-data O B-app B-feature B-technique B-feature B-data O B-feature I-feature O B-system 
253,How to identify the vulnerability,O O B-technique O B-vulnerability
254,The steps of using Metasploit to explore the vulnerability,O O O O B-tool O B-technique O B-vulnerability
255,Suggest the countermeasure or mitigation solutions based on given firewall rules ,O O B-technique O B-technique I-technique O O O B-function I-function
256,Detecting and Subverting Firewalls and Intrusion Detection Systems,B-technique O B-technique B-tool O B-tool I-tool I-tool 
257,firewall setup that you want to perform the pentest,B-tool B-system O O O O B-function O B-technique
258,To have better understanding of various scans you can use firewall reset to clear the firewall rules and set it to blacklist ,O O O O O O B-technique O O O B-tool B-function O O O B-function I-function O O O O B-feature
259,change your scanning target directly to the Metasploitable-2 VM,O O B-technique B-system O O O B-system I-system B-system
260,compare scanning responses with the firewall rules,O B-technique B-feature O O B-function I-function
261,you can observe results w/o firewall rules to interpret the scanning outcomes,O O O O O B-function I-function O O O B-technique O
262,Nmap and Metasploit Framework are installed on both the Client and Gateway VMs ,B-tool O B-tool I-tool O O O O O B-system O B-system I-system 
263,Thus you can also compare the scanning results on the Client vs on the Gateway which can help you determine if the firewall successfully defend a scan or attack,O O O O O O B-technique O O O B-system O O O B-system O O O O O O O B-tool O B-technique O B-technique O B-attack
264,Using tcpdump to monitor the traffic from both ingress and egress ports of the gateway is always the best approach to help you understand the actions performed on the Gateway,O B-tool O B-technique O B-data O O B-feature O B-feature B-feature O O B-system O O O O O O O O O O O O O O B-system
265,you are not restricted by the enumerated scanning approaches and provided hints ,O O O O O O O B-technique O O O O 
266,pentest is the art of cyberdefense and you need to be creative,B-technique O O O O B-technique O O O O O O
267,One helpful feature of the TCP protocol is that systems are required by RFC 793 to send a negative response to unexpected connection requests in the form of a TCP RST reset packet ,O O O O O B-feature I-feature O O B-system O O O B-feature I-feature O O O B-feature I-feature O O B-feature I-feature O O O O O B-data I-data I-data I-data 
268,The RST packet makes closed ports easy for Nmap to recognize,O B-data I-data O B-feature B-feature O O B-tool O O
269,Filtering devices such as firewalls on the other hand tend to drop packets destined for disallowed ports,B-feature B-system O O B-tool O O oOr O O O O B-data O O O B-feature
270,In some cases they send ICMP error messages usually port unreachable instead,O O O O O B-data I-data I-data O B-feature I-feature O
271,Because dropped packets and ICMP errors are easily distinguishable from RST packets Nmap can reliably detect filtered TCP ports from open or closed ones and it does so automatically,O B-data I-data O B-data I-data O O O O B-data I-data B-tool O B-feature B-technique B-feature B-feature I-feature O B-feature O B-feature O O O O O O
272,The ACK scan sends TCP packets with only the ACK bit set ,O B-technique I-technique O B-data I-data O O O B-data I-data I-data O 
273,Whether ports are open or closed the target is required by RFC 793 to respond with a RST packet,O B-feature O B-feature O B-feature O B-system O O O B-feature I-feature O B-feature O O B-data I-data
274,Firewalls can block the probe,B-tool O B-feature O B-technique
275,the firewall usually makes no response or send back an ICMP destination unreachable error ,O B-tool O O O B-feature O O O O B-data I-data I-data I-data
276,This distinction allows Nmap to report whether the ACK packets are being filtered,O O O B-tool O O O O B-data I-data O O B-feature
277,The set of filtered ports reported by an Nmap ACK scan is often smaller than for an SYN scan against the same machine because ACK scans are more difficult to filter,O O O B-feature I-feature O O O B-tool B-technique I-technique O O O O O O B-technique I-technique O O O B-system O B-technique I-technique O O O O B-feature
278,Stateless firewall can block incoming SYN packets without the ACK bit set is an easy way to do this but it still allows any ACK packets through ,B-feature B-tool O B-feature B-feature B-data I-data O O B-data I-data I-data O O O O O O O O O O O O B-data I-data O 
279,Blocking those ACK packets is more difficult because they do not tell which side started the connection,B-feature O B-data I-data O O O O O O O O O O O O B-feature
280,Run SYN scan and ACK scan and compare difference,O B-technique I-technique O B-technique I-technique O O O
281,To block unsolicited ACK packets as sent by the Nmap ACK scan while allowing ACK packets belonging to legitimate connections ,O B-feature B-attack B-data I-data O O O O B-tool B-technique I-technique O O B-data I-data O O B-feature B-feature
282,firewalls must statefully watch every established connection to determine whether a given ACK is appropriate,B-tool O B-feature O O B-feature I-feature O O O O O B-feature O O
283,Please check the provided iptables firewall rules and check where the stateful firewall policies kicked in ,O O O O B-feature B-tool B-function O O O O B-feature B-tool O O O 
284,These stateful firewalls are usually more secure because they can be more restrictive,O B-feature B-tool O O O B-feature O O O O O O
285,Blocking ACK scans is one extra available restriction ,B-feature B-technique I-technique O O O O O 
286,The downsides are that they require more resources to function and a stateful firewall reboot can cause a device to lose state and terminate all established connections passing through it,O O O O O O O O O O O O B-feature B-tool B-function O O O B-system O O B-feature O O O B-feature I-feature O O O
287,the key analysis point of this task is to check the feedback of Nmap scans with different scanning options to understand the implication of Nmap outputs: filtered unfiltered closed open ,O O O O O O O O O O O O O B-tool B-technique O O B-technique O O O O O O B-tool B-feature: B-feature B-feature B-feature B-feature 
288,What are the implications of the firewall setup according to these feedback,O O O O O O B-tool B-system O O O O
289,Systems running TCP protocol is required by RFC 793 to send a negative response to unexpected connection requests in the form of a TCP RST reset packet,B-system O B-feature I-feature O O O B-feature I-feature O O O B-feature I-feature O O B-feature I-feature O O O O O B-data I-data I-data I-data
290,the key analysis point of this task is how to infer the deny-by-default firewall policy based on the scanning responses from the firewall,O O O O O O O O O O O O B-feature B-tool B-feature O O O B-technique B-feature O O B-tool
291,The ACK scan sends TCP packets with only the ACK bit set Whether ports are open or closed the target is required by RFC 793 to respond with a RST packet,O B-feature I-feature O B-data I-data O O O B-data I-data I-data O B-feature O B-feature O B-feature O B-system O O O B-feature I-feature O O O O B-data I-data
292,the key analysis point of this task is how to infer stateful or stateless firewall policies setup based on the scanning responses from the firewall,O O O O O O O O O O O B-feature O B-feature B-tool B-feature B-system O O O B-technique B-feature O O B-tool
293,What is your observation of the responding time of each type of scans and what is the reason and implications?,O O O O O O O O O O O O B-technique O O O O O O O
294,Find at least one accessible open or closed port of one machine on the internal network ,O O O O O B-feature O B-feature B-feature O O B-system O O O B-system 
295,The machine chosen should have little network traffic to avoid confusing results ,O B-system O O O O B-data I-data O O O O 
296,Most Linux system does not work,O B-system I-system O O O
297,Verify that the machine has predictable IP ID sequences ,O O O B-system O O B-feature I-feature O 
298,targeting a Windows XP the Nping options request that five SYN packets be sent to port 80 one second apart,O O B-system I-system O B-tool O O O O B-data I-data O O O B-feature I-feature O O O
299,Start a flooding to a chosen host ,O O B-attack O O O B-system
300,Do not use any of the address from the nping node,O O O O O O B-feature O O B-tool B-system
301,It shows that the IP IDs are increasing by roughly 11 per second instead of one ,O O O O B-feature I-feature O O O O O O O O O O 
302,The target 19216803 is receiving our 10 forged packets per second and responding to each of them,O B-system O O O O O B-attack I-attack O O O O O O O O
303,Repeat step 3 using spoofed addresses that you suspect may be allowed through the firewall ,O O O O B-vulnerability B-feature O O O O O O O O B-tool 
304,This techniqueâs result is a list of source address netblocks that are permitted through the firewall and those that are blocked,O O O O O O O B-system B-feature B-technique O O O O O B-tool O O O O B-feature
305,UDP is often more difficult because the protocol does not provide acknowledgment of open ports like TCP does ,B-feature O O O O O O B-feature O O O O O B-feature I-feature O B-feature O 
306,Many UDP applications will ignore unexpected packets leaving the scanner unsure whether the port is open or filtered ,O B-feature B-app O O O B-data O O B-tool O O O B-feature O B-feature O B-feature 
307,what is the implication of open or filtered states of the UDP scan,O O O O O B-feature  O B-feature O O O B-technique I-technique
308,how to use Nmap to perform port scanning,O O O B-tool O O B-technique I-technique
309,Based on the scanning results can you further deploy idle scan and FTP Bounce scan,O O O B-technique O O O O B-function B-technique I-technique O B-technique I-technique I-technique
310,Nmap uses the -g and source -port options to manipulate source ports of transmitted packets,B-tool O O O O B-system  B-feature O O O B-system B-feature O B-data I-data
311,Many intrusion detection systems have morphed into what marketing departments label intrusion prevention systems,O B-tool I-tool I-tool O O O O O O O B-tool I-tool I-tool
312,Some can only sniff the network like a normal IDS and send triggered packet responses,O O O B-technique O B-system O O O B-tool O O B-feature I-feature I-feature
313,The best IPS systems are inline on the network to restrict packet flow when suspicious activity is detected,O O B-tool I-tool O O O O B-system O O B-feature I-feature O B-vulnerability I-vulnerability O B-technique
314,For example an IPS may block any further traffic from an IP address that they believe has port scanned them or attempted a buffer overflow exploit,O O O B-tool O B-feature O O B-data O O B-feature I-feature O O O O B-technique I-technique O O O B-attack I-attack I-attack
315,Attackers are likely to notice this if they port scan a system and cannot connect to the reported open ports,B-attacker O O O O O O O B-technique I-technique O B-system O O O O O O B-feature I-feature
316,Attackers can confirm that they are blocked by trying to connect from another IP address,B-attacker O O O O O B-feature O O O O O O B-feature I-feature
317,Suspicious response packets can also tip-off that an IDS has flagged an attackerâs actions,B-vulnerability B-data I-data O O O O O B-tool O B-feature O B-attacker O
318,In particular many IDSs that are not inline on the network will forge RST packets to tear down connections ,O O O B-tool O O O O O O B-system O B-vulnerability B-data I-data O O O B-feature 
319,Ways to determine that these packets are forged are covered in the section called Detecting Packet Forgery by Firewall and Intrusion Detection Systems ,O O O O O B-data O B-vulnerability O O O O O O B-technique B-attack I-attack O B-tool O B-tool I-tool I-tool 
320,For example the Linux iptables system which offers many methods for rejecting undesired packets by using:,O O O B-system B-app B-system O O O O O O O B-data O O
321,The type given can be icmp-net-unreachable icmp-host-unreachable icmp-port-unreachable icmp-proto-unreachable icmp-net-prohibited or icmp-host-prohibited which return the appropriate ICMP error message port-unreachable is the default ,O O O O O B-feature B-feature B-featureB-feature B-feature O B-feature O O O O B-data I-data I-data B-feature O O O 
322,The option tcp-reset can be used on rules which only match the TCP protocol,O O B-feature O O O O B-function O O O O B-feature I-feature
323,this causes a TCP RST packet to be sent back,O O O B-data I-data I-data O O O O
324,This is mainly useful for blocking ident 113/tcp probes which frequently occur when sending mail to broken mail hosts which wonât accept your mail otherwise,O O O O O B-featureB-feature I-feature B-technique O O O O O O O B-feature B-system I-system O O O O O O
325,Forging RST packets by firewalls and IDS or IPS is not particularly common outside of port 113,B-attack B-data I-data O B-tool O B-tool O B-tool O O O O O O B-feature I-feature
326,It can be confusing to legitimate network operators and allows scanners to immediately move on to the next port without waiting on the timeout caused by dropped packets ,O O O O O B-feature B-securityTeam I-securityTeam O O B-tool O O O O O O O B-feature O O O O B-feature O O B-data I-data 
327,"Such forgery canusually be detected by careful analysis of the RST packet compared to other packets sent by the machine ","O B-attack O
O O B-technique O O B-technique O O B-data I-data O O O B-data O O O B-system "
328,you can purposely alter some iptables rules and observe the difference and how the changes can impact your inferences about the firewall setup,O O O O O B-app B-function O O O O O O O O O O O O O O B-tool B-system
329,One way to detect certain IDSs is to watch for unexplained gaps or suspicious machines in traceroutes ,O O O B-technique O B-tool O O O O O O O B-vulnerability B-system O B-tool 
330,While most operating systems include a traceroute command Nmap offers a faster and more effective alternative with the traceroute option,O O B-system I-system O O B-tool B-function B-tool O O O O O O O O O B-tool O
331,This approach may only detect inline IDSs instead of those that passively sniff the network without being part of the route ,O O O O B-technique B-feature B-tool O O O O B-feature B-technique O B-system O O O O O B-function 
332,Additionally inspect iptables rules and output from Nmap and ping and explain why the above-issued commands cannot return the path information,O B-technique B-app B-function O O O B-tool O B-function O O O O O B-function O O O O B-data
333,The following techniques are used to avoid being detected by the IDS snort ,O O O O O O O O B-technique O O B-tool B-tool 
334,Your snort can detect many scanning activities based on the given snort rules,O B-tool O B-technique O B-technique O O O O O B-function I-function
335,how to configure your scanning parameters in the following given strategies,O O B-function O B-technique B-feature O O O O O
336,from slow down to DNS proxying which ones you can deploy in our testing environment,O B-feature I-feature O B-system I-system O O O O B-function O O B-system I-system
337,You need to check the rules specified in the given snort local rules,O O O O O B-function O O O O B-tool O B-function
338,Based on the following given Nmap scanning methods design new Nmap scanning commands to avoided being detected by snort rules,O O O O O B-tool B-technique O O O B-tool B-technique B-function O O O B-technique O B-function I-function
339,Nmap offers several timing modes that can be selected with the -T option to accomplish this ,B-tool O O B-feature I-feature O O O O O O O O O O O 
340,For example the -T paranoid option causes Nmap to send just one probe at a time waiting five minutes between them ,O O O O B-feature I-feature O B-tool O O O O B-technique O O O O O O O O 
341,A large scan may take weeks but at least it probably will not be detected ,O O B-technique O O O O O O O O O O O B-technique 
342,The -T sneaky option is similar but it only waits 15 seconds between probes ,O O B-feature I-feature O O O O O O O O O B-technique 
343,Scatter probes across networks rather than scanning hosts consecutively,O B-technique O B-system O O B-technique B-system O
344,IP fragments can be a major problem for intrusion detection systems,B-feature I-feature O O O O O O B-tool I-tool I-tool
345,particularly because the handling of oddities such as overlapping fragments and fragmentation assembly timeouts are ambiguous and differ substantially between platforms ,O O O O O O O O B-feature I-feature O B-feature I-feature I-feature O O O O O O B-system 
346,Thus the IDS often has to guess at how the remote system will interpret a packet,O O B-tool O O O O O O O B-system I-system O O O B-data
347,An Nmap scan will use tiny IP fragments ,O B-tool B-technique O O B-feature I-feature I-feature
348,By default Nmap will include up to eight bytes of data in each fragment so a typical 20 or 24 byte depending on options TCP packet is sent in three tiny fragments,O O B-tool O O O O O B-data O B-data O O B-feature O O typicOl O O O B-data O O O B-data I-data O O O O B-feature I-feature
349,Every instance of -f adds eight to the maximum fragment data size ,O O O O O O O O O B-feature B-feature I-feature 
350,Fragmentation is only supported for Nmapâs raw packet features including TCP and UDP port scans except connect scan and FTP bounce scan and OS detection,B-technique O O O O B-tool B-data I-data O O B-feature O B-feature B-technique I-technique O B-technique I-technique O B-technique I-technique I-technique O B-technique I-technique
351,Features such as version detection and the Nmap Scripting Engine generally donât support fragmentation ,B-feature O O B-technique I-technique O O B-tool I-tool I-tool O O O B-technique 
352,because they rely on your hostâs TCP stack to communicate with target services,O O O O O B-system B-feature I-feature O O O B-app I-app
353,Decoys are added with the -D option,B-technique O O O O O O
354,The argument is a list of hosts separated by commas ,O O O O O O B-system O O O O
355,The string ME can be used as one of the decoys to represent where the true source host should appear in the scan order ,O O O O O O O O O O B-technique O O O O O B-system I-system O O O O B-technique O 
356,source IP and Nmap will launch the requested port scan from that given source,B-system B-feature O B-tool O O O O B-technique I-technique O O O B-system  
357,No useful Nmap results will be available since the target will respond to the spoofed IP and Nmap will not see those responses,O O B-tool O O O O O O B-system O O O O B-vulnerability B-feature O B-tool O O O O B-feature
358,IDS alarms at the target will blame the spoofed source for the scan,B-tool B-function O O B-system O O O B-vulnerability O O O B-technique
359,This can be useful for framing innocent parties casting doubt in the administratorâs mind about his IDS accuracy,O O O O O O O O O O O O B-securityTeam O O O B-tool B-feature
360,The idle scan is a clever technique that allows for spoofing the source IP address as discussed in the previous section while still obtaining accurate TCP port scan results ,O B-O I-O O O O O O O O B-vulnerability O B-system B-feature I-feature O O O O O O O O O O B-technique I-technique I-technique O 
361,This is done by abusing the properties of the IP identification field as implemented by many systems ,O O O O O O O O O B-feature I-feature I-feature O O O O  B-system 
362,However most Linux systems are immune to idle scan attacks,O O B-system I-system O O O B-attack I-attack I-attack
363,Nmap performs reverse-DNS resolution by default against every responsive host ,B-tool O B-function I-function O O O O B-feature B-system 
364,These DNS lookup probes could be detected Even something as unintrusive as a list scan -sL could be detected this way ,O B-function I-function B-technique O O B-technique O O O B-feature O O B-technique I-technique O O O B-technique O O
365,The probes will come from the DNS server configured for the machine running Nmap,O B-technique O O O O B-system I-system B-function O O B-system O B-tool
366,The most effective way to eliminate this risk is to specify -n to disable all reverse DNS resolution ,O O O O O O O B-feature O O O O O O O B-function I-function I-function
367,You can specify one or more of those name servers to the dns-servers option of Nmap and all DNS queries will be proxied through them,O O O O O O O O B-system I-system O O B-system I-system O O B-tool O O B-function I-function O O B-system  O O
368,The scanning results derived from task 1 to task 3 allows you to identify potential vulnerabilities to explore ,O B-technique O O O O O O O O O O O O O O O O B-technique 
369,you need to use Metasploit Framework msf to deploy at least two successful attacks ,O O O O B-tool I-tool I-tool O B-function O O O O B-attack 
370,such as stop the service gain access to the command shell modify data or service parameters steal critical data modify system configuration/setup ,O O O O B-app O B-feature O O B-tool I-tool O B-data O B-app B-feature B-technique B-feature B-data O B-feature I-feature O B-system 
371,you will run the Metasploit Framework MSF command-line CLI for penetration testing,O O O O B-tool I-tool I-tool B-tool I-tool O B-technique I-technique
372,You will learn how to use Metasploit to discover and identify system vulnerabilities ie running Metasploitable 2,O O O O O O B-tool O B-technique O B-technique B-vulnerability I-vulnerability O O B-system I-system
373,Use Metasploit Framework to send vulnerability exploitation packets for vulnerability discovery,O B-tool I-tool O O B-vulnerability B-data I-data O B-technique I-technique
374,Use Metasploit Framework to compromise a vulnerable system ie Metasploitable2,O B-tool I-tool O O O B-vulnerability B-system O B-system
375,The Metasploit Project is a computer security project that provides information about security vulnerabilities and aids in penetration testing and IDS signature development ,O B-tool O O O B-technique I-technique O O O B-data O B-vulnerability I-vulnerability O O O B-technique I-technique O B-technique I-technique I-technique 
376,Boston Massachusetts-based security company Rapid7 owns it ,O O B-technique O B-app O O 
377,Its best-known sub-project is the open-source Metasploit Framework a tool for developing and executing exploit code against a remote target machine,O O O O O B-feature B-tool I-tool O B-tool O O O O B-function I-function O O B-system I-system I-system
378,The Metasploit Project includes anti-forensic and evasion tools some of which are built into the Metasploit Framework ,O B-tool O O B-technique O B-technique B-tool O O O O O O O B-tool I-tool 
379,Metasploit is pre-installed in the Kali Linux operating system ,B-tool O O O O B-system I-system I-system I-system
380,In this lab we use the command-line only version msfconsole which runs on Ubuntu Linux,O O O O O O B-tool O B-feature B-tool O O O B-system I-system
381,The Metasploit framework consists of the core and base many exploits payloads modules Ruby classes pluginâs scripts and multiple user interfaces ,O B-tool I-tool O O O O O O O B-function B-data B-function B-tool B-function B-tool B-function O O B-app I-app 
382,The Metasploit framework also contains some great information- gathering tools called auxiliary modules,O B-tool I-tool O O O O B-data O B-tool O B-tool I-tool
383,Auxiliary modules can be used for port scanning service identification password sniffing and Windows patch enumeration ,B-tool I-tool O O O O B-technique I-technique B-technique I-technique B-technique I-technique O B-technique I-technique I-technique 
384,Metasploit is highly customizable for advanced users and can be customized the meet your custom needs by writing your own exploits modules plugins and scripts ,B-tool O O O O B-user I-user O O O O O O O O O O O O O B-function B-tool B-tool O B-function 
385,If Metasploit does not provide the information gathering module you need by default you can simply write it yourself,O B-tool O O O O B-data O B-tool O O O B-function O O O O O O
386,The msfconsole is the user interface known to be the most stable interface and you can use it to execute external commands like the ping command and the tab auto-completion ,O B-tool O O B-app I-app O O O O O O B-app O O O O O O O B-function I-function O O B-function I-function O O B-function I-function 
387,A graphical user interface is available for Metasploit called Armitage which is not covered in this lab,O B-app I-app I-app O O O B-tool O B-app O O O O O thO O
388,If you are on Kali Linux rolling edition you can start the Metasploit framework and msfconsole by clicking the Metasploit icon in the dock ,O O O O B-system I-system B-feature I-feature O O O O B-tool I-tool O B-tool O O O B-tool O O O B-app 
389,This will start the PostgreSQL service and Metasploit service automatically,O O O O B-app I-app O B-app I-app O
390,You can run the following command to check if Metasploit is installed in your system,O O O O O B-function O O O B-tool O B-function O O B-system
391,If Metasploit is not installed you can follow the procedure below to install Metasploit,O B-tool O O B-function O O O O O O O B-function B-tool
392,The use command in Metasploit is used to activate a particular module and changes the context of the msfconsole to that particular module,O B-function I-function O B-tool O O O O O O B-function O O O O O O B-tool O O O B-function
393,The exploit name will be mentioned in red on the command line,O B-function O O O O O O O O B-tool I-tool
394,In this example you have changed the command lineâs context to the exploit called realvnc_client ,O O O O O O O B-tool I-tool O O O B-function O B-vulnerability
395,Then you retrieve information about this exploit set the required exploit parameters and run it against a target,O O O B-data O O B-technique O O O B-function I-function O O O O O B-system
