DocNo,sentence,tag
D1,Attacks,B-ATTACK
D1,can,O
D1,damage,O
D1,public,B-SYSTEM
D1,domain,I-SYSTEM
,,
D1,IDS,B-TOOL
D1,means,O
D1,Intrusion,B-TECHNIQUE
D1,Detection,I-TECHNIQUE
,,
D1,Snort,B-TOOL
D1,is,O
D1,used,O
D1,for,O
D1,Intrusion,B-TECHNIQUE
D1,Detection,I-TECHNIQUE
,,
D1,Snort,B-TOOL
D1,can,O
D1,detect,O
D1,network,B-ATTACK
D1,attacks,I-ATTACK
,,
D1,Snort,B-TOOL
D1,can,O
D1,also,O
D1,be,O
D1,used,O
D1,as,O
D1,a,O
D1,simple,O
D1,packet,B-TOOL
D1,logger,I-TOOL
,,
D1,Snort,B-TOOL
D1,can,O
D1,analyze,O
D1,real,O
D1,time,O
D1,traffic,B-DATA
,,
D1,Snort,B-TOOL
D1,can,O
D1,analyze,O
D1,real,O
D1,time,O
D1,data,B-FEATURE
D1,flow,I-FEATURE
,,
D1,Snort,B-TOOL
D1,can,O
D1,check,O
D1,protocol,B-TECHNIQUE
D1,analysis,I-TECHNIQUE
,,
D1,Snort,B-TOOL
D1,can,O
D1,detect,B-TECHNIQUE
D1,different,O
D1,types,O
D1,of,O
D1,attacks,B-ATTACK
,,
D1,Snort,B-TOOL
D1,checks,O
D1,the,O
D1,packet,B-DATA
D1,against,O
D1,user,B-FUNCTION
D1,rules,I-FUNCTION
,,
D1,Snort,B-FUNCTION
D1,rules,I-FUNCTION
D1,can,O
D1,be,O
D1,written,O
D1,in,O
D1,any,O
D1,language,B-FEATURE
,,
D1,Snort,B-FUNCTION
D1,rules,I-FUNCTION
D1,have,O
D1,good,O
D1,structure,O
,,
D1,Snort,B-TOOL
D1,match,O
D1,previous,B-FEATURE
D1,attack,B-FEATURE
D1,pattern,B-FEATURE
,,
D1,Snort,B-TOOL
D1,checks,O
D1,the,O
D1,network,B-FEATURE
D1,behavior,B-FEATURE
,,
D1,Snort,B-TOOL
D1,can,O
D1,discard,O
D1,the,O
D1,bad,B-DATA
D1,packet,I-DATA
,,
D1,Snort,B-TOOL
D1,has,O
D1,a,O
D1,Packet,B-TOOL
D1,Decoder,I-TOOL
,,
D1,Packet,B-TOOL
D1,Decoder,I-TOOL
D1,forms,O
D1,the,O
D1,packets,B-DATA
,,
D1,Packet,B-TOOL
D1,Decoder,I-TOOL
D1,determines,O
D1,the,O
D1,underlying,O
D1,protocols,B-FEATURE
,,
D1,Packet,B-TOOL
D1,Decoder,I-TOOL
D1,determines,O
D1,packet,B-DATA
D1,data,B-FEATURE
D1,size,I-FEATURE
,,
D1,Packet,B-TOOL
D1,Decoder,I-TOOL
D1,looks,O
D1,for,O
D1,header,B-VULNERABILITY
D1,anomalies,I-VULNERABILITY
,,
D1,Snort,B-TOOL
D1,has,O
D1,a,O
D1,Preprocessor,B-TOOL
,,
D1,Preprocessor,B-TOOL
D1,verify,O
D1,HTTP,B-VULNERABILITY
D1,anomalies,I-VULNERABILITY
,,
D1,Preprocessor,B-TOOL
D1,verify,O
D1,FTP,B-VULNERABILITY
D1,anomalies,I-VULNERABILITY
,,
D1,Preprocessor,B-TOOL
D1,can,O
D1,modify,O
D1,packet,B-DATA
D1,data,I-DATA
,,
D1,Snort,B-TOOL
D1,has,O
D1,Detection,B-TOOL
D1,Engine,I-TOOL
,,
D1,Detection,B-TOOL
D1,Engine,I-TOOL
D1,detects,B-TECHNIQUE
D1,intrusion,B-ATTACK
D1,in,O
D1,packet,B-DATA
,,
D1,Detection,B-TOOL
D1,Engine,I-TOOL
D1,chains,O
D1,the,O
D1,rules,B-FUNCTION
,,
D1,Snort,B-TOOL
D1,has,O
D1,Log,B-TOOL
D1,Alert,I-TOOL
D1,system,I-TOOL
,,
D1,Snort,B-TOOL
D1,has,O
D1,Output,B-TOOL
D1,Module,I-TOOL
,,
D1,Output,B-TOOL
D1,Module,I-TOOL
D1,controls,O
D1,output,B-FEATURE
D1,type,B-FEATURE
,,
D1,Output,B-TOOL
D1,Module,I-TOOL
D1,sends,O
D1,alerts,B-FEATURE
,,
D1,Snort,B-TOOL
D1,set,O
D1,into,O
D1,Sniff,B-FEATURE
D1,mode,I-FEATURE
,,
D1,Snort,B-TOOL
D1,can,O
D1,sniff,B-TECHNIQUE
D1,the,O
D1,Ingress,B-FEATURE
,,
D1,Snort,B-TOOL
D1,can,O
D1,sniff,B-TECHNIQUE
D1,the,O
D1,Egress,B-FEATURE
,,
D1,Ingress,B-FEATURE
D1,captures,O
D1,incoming,B-DATA
D1,traffic,I-DATA
,,
D1,Snort,B-TOOL
D1,sniffs,B-TECHNIQUE
D1,firewall,B-DATA
D1,traffic,I-DATA
,,
D1,Snort,B-TOOL
D1,has,O
D1,packet,B-TOOL
D1,logger,I-TOOL
,,
D1,The,O
D1,packet,B-TOOL
D1,logger,I-TOOL
D1,collects,O
D1,data,B-DATA
D1,as,O
D1,file,B-DATA
,,
D1,Snort,B-TOOL
D1,can,O
D1,output,O
D1,tcpdump,B-DATA
D1,pcap,I-DATA
,,
D1,Snort,B-TOOL
D1,can,O
D1,output,O
D1,unified2,B-TOOL
,,
D1,Wireshark,B-TOOL
D1,can,O
D1,read,O
D1,tcpdump,B-DATA
D1,pcap,I-DATA
,,
D1,Detection,B-TOOL
D1,alert,I-TOOL
D1,is,O
D1,added,O
D1,to,O
D1,IP,B-DATA
D1,packets,I-DATA
,,
D1,Snort,B-FUNCTION
D1,rules,I-FUNCTION
D1,is,O
D1,tested,O
D1,using,O
D1,icmp,B-FUNCTION
D1,rules,I-FUNCTION
,,
D1,Snort,B-FUNCTION
D1,rules,I-FUNCTION
D1,is,O
D1,tested,O
D1,using,O
D1,system,B-DATA
D1,variables,I-DATA
,,
D1,system,B-DATA
D1,variables,I-DATA
D1,can,O
D1,be,O
D1,edited,O
D1,in,O
D1,conf,B-DATA
D1,file,I-DATA
,,
D1,system,B-DATA
D1,variables,I-DATA
D1,can,O
D1,be,O
D1,set,O
D1,as,O
D1,home,B-SYSTEM
D1,network,I-SYSTEM
,,
D1,system,B-DATA
D1,variables,I-DATA
D1,can,O
D1,be,O
D1,set,O
D1,external,B-SYSTEM
D1,network,I-SYSTEM
,,
D1,Snort,B-FUNCTION
D1,rules,I-FUNCTION
D1,is,O
D1,tested,O
D1,using,O
D1,payload,B-FEATURE
D1,options,I-FEATURE
,,
D1,payload,B-FEATURE
D1,options,I-FEATURE
D1,shows,O
D1,captured,O
D1,data,B-DATA
,,
D1,Snort,B-FUNCTION
D1,rules,I-FUNCTION
D1,is,O
D1,tested,O
D1,using,O
D1,non,B-FEATURE
D1,payload,I-FEATURE
D1,options,I-FEATURE
,,
D1,Network,B-SYSTEM
D1,is,O
D1,set,O
D1,as,O
D1,client,B-SYSTEM
D1,gateway,I-SYSTEM
D1,server,I-SYSTEM
,,
D1,Packet,B-FEATURE
D1,forwarding,I-FEATURE
D1,enabled,O
D1,on,O
D1,Gateway,B-SYSTEM
,,
D1,Firewall,B-TOOL
D1,set,O
D1,to,O
D1,sniff,B-TECHNIQUE
D1,server,B-SYSTEM
,,
D1,Firewall,B-TOOL
D1,disabled,O
D1,for,O
D1,testing,B-FUNCTION
,,
D1,Blacklist,B-FEATURE
D1,enabled,O
D1,for,O
D1,testing,B-FUNCTION
,,
D1,Land,B-ATTACK
D1,Attack,I-ATTACK
D1,sends,O
D1,spoofed,B-VULNERABILITY
D1,TCP,B-DATA
D1,SYN,I-DATA
D1,Packets,I-DATA
,,
D2,Nmap,B-TOOL
D2,is,O
D2,an,O
D2,open,B-FEATURE
D2,source,I-FEATURE
D2,tool,B-TOOL
,,
D2,Nmap,B-TOOL
D2,is,O
D2,used,O
D2,for,O
D2,network,B-TECHNIQUE
D2,discovery,I-TECHNIQUE
,,
D2,Nmap,B-TOOL
D2,is,O
D2,used,O
D2,for,O
D2,security,B-TECHNIQUE
D2,auditing,I-TECHNIQUE
,,
D2,Nmap,B-TOOL
D2,displays,O
D2,exposed,B-VULNERABILITY
D2,services,B-APP
D2,on,O
D2,a,O
D2,target,B-SYSTEM
D2,machine,I-SYSTEM
D2,along,O
D2,with,O
D2,other,O
D2,useful,O
D2,information,B-DATA
D2,such,O
D2,as,O
D2,the,O
D2,version,B-TECHNIQUE
D2,and,O
D2,OS,B-TECHNIQUE
D2,detection,I-TECHNIQUE
,,
D2,Use,O
D2,nmap,B-TOOL
D2,to,O
D2,send,O
D2,customized,O
D2,packets,B-DATA
D2,for,O
D2,network,B-TECHNIQUE
D2,diagnostic,I-TECHNIQUE
D2,and,O
D2,testing,B-FUNCTION
,,
D2,Use,O
D2,nmap,B-TOOL
D2,to,O
D2,send,O
D2,customized,O
D2,packets,B-DATA
D2,for,O
D2,emulating,O
D2,attacks,B-ATTACK
,,
D2,Nmap,B-TOOL
D2,is,O
D2,a,O
D2,network,B-FEATURE
D2,mapper,I-FEATURE
D2,that,O
D2,has,O
D2,emerged,O
D2,as,O
D2,one,O
D2,of,O
D2,the,O
D2,most,O
D2,popular,O
D2,free,O
D2,network,B-TECHNIQUE
D2,discovery,I-TECHNIQUE
D2,tools,B-TOOL
D2,on,O
D2,the,O
D2,market,O
,,
D2,Nmap,B-TOOL
D2,is,O
D2,now,O
D2,one,O
D2,of,O
D2,the,O
D2,core,O
D2,tools,B-TOOL
D2,used,O
D2,by,O
D2,network,B-SECURITYTEAM
D2,administrators,I-SECURITYTEAM
D2,to,O
D2,map,B-FUNCTION
D2,their,O
D2,networks,B-SYSTEM
,,
D2,The,O
D2,program,B-FUNCTION
D2,can,O
D2,find,O
D2,live,B-SYSTEM
D2,hosts,I-SYSTEM
D2,on,O
D2,a,O
D2,network,B-SYSTEM
D2,perform,O
D2,port,B-TECHNIQUE
D2,scanning,I-TECHNIQUE
D2,ping,B-TECHNIQUE
D2,sweeps,I-TECHNIQUE
D2,OS,B-TECHNIQUE
D2,detection,I-TECHNIQUE
D2,and,O
D2,version,B-TECHNIQUE
D2,detection,I-TECHNIQUE
,,
D2,What,O
D2,is,O
D2,Nmap,B-TOOL
,,
D2,Nmap,B-TOOL
D2,is,O
D2,a,O
D2,network,B-TECHNIQUE
D2,scanning,I-TECHNIQUE
D2,tool,B-TOOL
D2,that,O
D2,uses,O
D2,IP,B-DATA
D2,packets,I-DATA
D2,to,O
D2,identify,O
D2,all,O
D2,the,O
D2,devices,B-SYSTEM
D2,connected,O
D2,to,O
D2,a,O
D2,network,B-SYSTEM
D2,and,O
D2,provide,O
D2,information,B-DATA
D2,on,O
D2,the,O
D2,services,B-APP
D2,and,O
D2,operating,B-SYSTEM
D2,systems,I-SYSTEM
D2,they,O
D2,are,O
D2,running,O
,,
D2,The,O
D2,program,O
D2,is,O
D2,most,O
D2,commonly,O
D2,used,O
D2,via,O
D2,a,O
D2,command-line,B-TOOL
D2,interface,I-TOOL
D2,though,O
D2,GUI,B-TOOL
D2,front-ends,I-TOOL
D2,are,O
D2,also,O
D2,available,O
,,
D2,It,O
D2,is,O
D2,available,O
D2,for,O
D2,many,O
D2,different,O
D2,operating,B-SYSTEM
D2,systems,I-SYSTEM
D2,such,O
D2,as,O
D2,Linux,B-SYSTEM
D2,Free,B-SYSTEM
D2,BSD,I-SYSTEM
D2,and,O
D2,Gentoo,B-SYSTEM
,,
D2,Nmap,B-TOOL
D2,was,O
D2,developed,O
D2,for,O
D2,enterprise-scale,B-SYSTEM
D2,networks,I-SYSTEM
D2,and,O
D2,can,O
D2,scan,B-FUNCTION
D2,through,O
D2,thousands,O
D2,of,O
D2,connected,B-SYSTEM
D2,devices,I-SYSTEM
,,
D2,Moreover,O
D2,Nmap,B-TOOL
D2,has,O
D2,been,O
D2,increasingly,O
D2,used,O
D2,to,O
D2,inspect,O
D2,IoT,B-TECHNIQUE
D2,security,I-TECHNIQUE
,,
D2,Nmap,B-TOOL
D2,provides,O
D2,information,B-DATA
D2,on,O
D2,every,O
D2,active,B-FEATURE
D2,IP,B-FEATURE
D2,so,O
D2,you,O
D2,can,O
D2,determine,O
D2,if,O
D2,an,O
D2,IP,B-FEATURE
D2,is,O
D2,being,O
D2,used,O
D2,by,O
D2,a,O
D2,legitimate,B-FEATURE
D2,service,B-APP
D2,or,O
D2,an,O
D2,external,B-ATTACKER
D2,attacker,I-ATTACKER
,,
D2,Your,O
D2,network,B-SYSTEM
D2,as,O
D2,a,O
D2,whole,O
D2,including,O
D2,live,B-SYSTEM
D2,hosts,I-SYSTEM
D2,open,B-FEATURE
D2,ports,I-FEATURE
D2,and,O
D2,the,O
D2,OS,B-SYSTEM
D2,of,O
D2,every,O
D2,connected,B-SYSTEM
D2,device,I-SYSTEM
,,
D2,Vulnerabilities,B-VULNERABILITY
D2,scan,B-FUNCTION
D2,your,O
D2,own,O
D2,server,B-SYSTEM
D2,to,O
D2,simulate,O
D2,the,O
D2,process,B-TECHNIQUE
D2,that,O
D2,a,O
D2,hacker,B-ATTACKER
D2,would,O
D2,use,O
D2,to,O
D2,attack,B-ATTACK
D2,your,O
D2,site,B-SYSTEM
,,
D2,The,O
D2,primary,O
D2,uses,O
D2,of,O
D2,Nmap,B-TOOL
D2,can,O
D2,be,O
D2,broken,O
D2,into,O
D2,three,O
D2,core,O
D2,processes,B-TECHNIQUE
,,
D2,First,O
D2,the,O
D2,program,O
D2,gives,O
D2,you,O
D2,detailed,O
D2,information,B-DATA
D2,on,O
D2,every,O
D2,IP,B-FEATURE
D2,active,B-FEATURE
D2,on,O
D2,your,O
D2,networks,B-SYSTEM
D2,and,O
D2,each,O
D2,IP,B-FEATURE
D2,can,O
D2,then,O
D2,be,O
D2,scanned,B-FUNCTION
,,
D2,This,O
D2,allows,O
D2,administrators,B-SECURITYTEAM
D2,to,O
D2,check,O
D2,whether,O
D2,an,O
D2,IP,B-FEATURE
D2,is,O
D2,being,O
D2,used,O
D2,by,O
D2,a,O
D2,legitimate,B-FEATURE
D2,service,I-FEATURE
D2,or,O
D2,an,O
D2,external,B-ATTACKER
D2,attacker,I-ATTACKER
,,
D2,Secondly,O
D2,Nmap,B-TOOL
D2,provides,O
D2,information,B-DATA
D2,on,O
D2,your,O
D2,network,B-SYSTEM
D2,as,O
D2,a,O
D2,whole,O
,,
D2,It,O
D2,can,O
D2,be,O
D2,used,O
D2,to,O
D2,provide,O
D2,a,O
D2,list,O
D2,of,O
D2,live,B-SYSTEM
D2,hosts,I-SYSTEM
D2,and,O
D2,open,B-FEATURE
D2,ports,I-FEATURE
D2,and,O
D2,identify,O
D2,the,O
D2,OS,B-SYSTEM
D2,of,O
D2,every,O
D2,connected,B-SYSTEM
D2,device,I-SYSTEM
,,
D2,This,O
D2,makes,O
D2,it,O
D2,a,O
D2,valuable,O
D2,tool,B-TOOL
D2,in,O
D2,ongoing,O
D2,system,B-TECHNIQUE
D2,monitoring,I-TECHNIQUE
D2,and,O
D2,a,O
D2,critical,O
D2,part,O
D2,of,O
D2,pentesting,B-TECHNIQUE
,,
D2,Nmap,B-TOOL
D2,can,O
D2,be,O
D2,used,O
D2,alongside,O
D2,the,O
D2,Metasploit,B-TOOL
D2,framework,I-TOOL
D2,for,O
D2,instance,O
D2,to,O
D2,probe,B-TECHNIQUE
D2,and,O
D2,then,O
D2,repair,O
D2,network,B-VULNERABILITY
D2,vulnerabilities,I-VULNERABILITY
,,
D2,Thirdly,O
D2,Nmap,B-TOOL
D2,has,O
D2,also,O
D2,become,O
D2,a,O
D2,valuable,O
D2,tool,B-TOOL
D2,for,O
D2,users,B-USER
D2,looking,O
D2,to,O
D2,protect,O
D2,personal,B-SYSTEM
D2,and,O
D2,business,B-SYSTEM
D2,websites,I-SYSTEM
,,
D2,Using,O
D2,Nmap,B-TOOL
D2,to,O
D2,scan,B-TECHNIQUE
D2,your,O
D2,own,O
D2,web,B-SYSTEM
D2,server,I-SYSTEM
D2,particularly,O
D2,if,O
D2,you,O
D2,are,O
D2,hosting,B-FEATURE
D2,your,O
D2,website,B-SYSTEM
D2,from,O
D2,home,B-SYSTEM
D2,is,O
D2,essentially,O
D2,simulating,O
D2,a,O
D2,hacker,B-ATTACKER
D2,process,B-TECHNIQUE
D2,to,O
D2,attack,B-ATTACK
D2,your,O
D2,site,B-SYSTEM
,,
D2,Attacking,B-ATTACK
D2,your,O
D2,own,O
D2,site,B-SYSTEM
D2,in,O
D2,this,O
D2,way,O
D2,is,O
D2,a,O
D2,powerful,O
D2,way,O
D2,of,O
D2,identifying,O
D2,security,B-VULNERABILITY
D2,vulnerabilities,I-VULNERABILITY
,,
D2,Nmap,B-TOOL
D2,is,O
D2,straightforward,O
D2,to,O
D2,use,O
D2,and,O
D2,most,O
D2,of,O
D2,the,O
D2,tools,B-TOOL
D2,it,O
D2,provides,O
D2,are,O
D2,familiar,O
D2,to,O
D2,system,B-SECURITYTEAM
D2,admins,I-SECURITYTEAM
D2,from,O
D2,other,O
D2,programs,B-FUNCTION
,,
D2,Nmap,B-TOOL
D2,advantage,O
D2,is,O
D2,that,O
D2,it,O
D2,brings,O
D2,a,O
D2,wide,O
D2,range,O
D2,of,O
D2,these,O
D2,tools,B-TOOL
D2,into,O
D2,one,O
D2,program,B-FUNCTION
D2,rather,O
D2,than,O
D2,forcing,O
D2,you,O
D2,to,O
D2,skip,O
D2,between,O
D2,separate,O
D2,and,O
D2,discrete,O
D2,network,B-TECHNIQUE
D2,monitoring,I-TECHNIQUE
D2,tools,B-TOOL
,,
D2,To,O
D2,use,O
D2,Nmap,B-TOOL
D2,you,O
D2,need,O
D2,to,O
D2,be,O
D2,familiar,O
D2,with,O
D2,command-line,B-TOOL
D2,interfaces,I-TOOL
,,
D2,Most,O
D2,advanced,O
D2,users,B-USER
D2,can,O
D2,write,O
D2,scripts,B-FUNCTION
D2,to,O
D2,automate,B-FEATURE
D2,common,O
D2,tasks,O
D2,but,O
D2,this,O
D2,is,O
D2,unnecessary,O
D2,for,O
D2,basic,O
D2,network,B-TECHNIQUE
D2,monitoring,I-TECHNIQUE
,,
D2,TCP,B-TECHNIQUE
D2,Full,I-TECHNIQUE
D2,Connect,I-TECHNIQUE
D2,Vanilla,I-TECHNIQUE
D2,Scan,I-TECHNIQUE
,,
D2,we,O
D2,assume,O
D2,that,O
D2,the,O
D2,scanning,B-TECHNIQUE
D2,target�s,B-SYSTEM
D2,IP,B-FEATURE
D2,address,I-FEATURE
,,
D2,TCP,B-TECHNIQUE
D2,Connect,I-TECHNIQUE
D2,scan,I-TECHNIQUE
D2,completes,O
D2,the,O
D2,3-way,B-TECHNIQUE
D2,handshake,I-TECHNIQUE
,,
D2,If,O
D2,a,O
D2,port,B-FEATURE
D2,is,O
D2,open,B-FEATURE
D2,the,O
D2,operating,B-SYSTEM
D2,system,I-SYSTEM
D2,completed,O
D2,the,O
D2,TCP,B-FEATURE
D2,three-way,B-TECHNIQUE
D2,handshake,I-TECHNIQUE
D2,and,O
D2,the,O
D2,port,B-TOOL
D2,scanner,I-TOOL
D2,immediately,O
D2,closes,O
D2,the,O
D2,connection,B-FEATURE
D2,to,O
D2,avoid,O
D2,DOS,B-ATTACK
,,
D2,This,O
D2,is,O
D2,noisy,B-FEATURE
D2,because,O
D2,the,O
D2,services,B-FEATURE
D2,can,O
D2,log,B-FUNCTION
D2,the,O
D2,sender,B-SYSTEM
D2,IP,B-FEATURE
D2,address,I-FEATURE
D2,and,O
D2,trigger,O
D2,Intrusion,B-TOOL
D2,Detection,I-TOOL
D2,Systems,I-TOOL
,,
D2,the,O
D2,Full,B-TECHNIQUE
D2,scan,I-TECHNIQUE
D2,has,O
D2,the,O
D2,following,O
D2,features,O
,,
D2,Attempts,O
D2,to,O
D2,completes,O
D2,3-way,B-TECHNIQUE
D2,handshake,I-TECHNIQUE
D2,with,O
D2,each,O
D2,scanned,B-VULNERABILITY
D2,port,B-FEATURE
,,
D2,Sends,B-FUNCTION
D2,SYN,B-FEATURE
D2,and,O
D2,waits,O
D2,for,O
D2,ACK,B-FEATURE
D2,before,O
D2,sending,B-FUNCTION
D2,ACK,B-FEATURE
,,
D2,Tears,B-FEATURE
D2,down,I-FEATURE
D2,connection,B-FEATURE
D2,using,O
D2,FIN,B-DATA
D2,packets,I-DATA
,,
D2,If,O
D2,target,B-FEATURE
D2,port,I-FEATURE
D2,is,O
D2,closed,B-FEATURE
D2,sender,B-SYSTEM
D2,will,O
D2,received,B-FUNCTION
D2,either,O
D2,no,O
D2,response,B-FEATURE
D2,a,O
D2,RESET,B-DATA
D2,packet,I-DATA
D2,or,O
D2,an,O
D2,ICMP,B-DATA
D2,Port,I-DATA
D2,Unreachable,I-DATA
D2,packet,I-DATA
,,
D2,Not,O
D2,stealthy,B-VULNERABILITY
D2,the,O
D2,connection,B-FEATURE
D2,request,I-FEATURE
D2,can,O
D2,be,O
D2,logged,B-FUNCTION
,,
D2,UDP,B-TECHNIQUE
D2,scan,I-TECHNIQUE
D2,checks,O
D2,to,O
D2,see,O
D2,if,O
D2,any,O
D2,UDP,B-FEATURE
D2,ports,I-FEATURE
D2,are,O
D2,listening,B-FEATURE
,,
D2,Since,O
D2,UDP,B-FEATURE
D2,does,O
D2,not,O
D2,respond,B-FEATURE
D2,with,O
D2,a,O
D2,positive,B-FEATURE
D2,acknowledgment,I-FEATURE
D2,like,O
D2,TCP,B-FEATURE
D2,and,O
D2,only,O
D2,responds,B-FEATURE
D2,to,O
D2,an,O
D2,incoming,B-FEATURE
D2,UDP,B-DATA
D2,packet,I-DATA
D2,when,O
D2,the,O
D2,port,B-FEATURE
D2,is,O
D2,closed,B-FEATURE
D2,this,O
D2,type,O
D2,of,O
D2,scan,B-TECHNIQUE
D2,can,O
D2,sometimes,O
D2,show,O
D2,FALSE,B-FEATURE
D2,positives,I-FEATURE
,,
D2,However,O
D2,it,O
D2,can,O
D2,also,O
D2,reveal,B-FEATURE
D2,Trojan,B-ATTACK
D2,horses,I-ATTACK
D2,running,O
D2,on,O
D2,high,B-FEATURE
D2,UDP,I-FEATURE
D2,ports,I-FEATURE
D2,and,O
D2,hidden,B-VULNERABILITY
D2,RPC,I-VULNERABILITY
D2,services,I-VULNERABILITY
,,
D2,It,O
D2,may,O
D2,be,O
D2,quite,O
D2,slow,O
D2,since,O
D2,some,O
D2,machines,B-SYSTEM
D2,intentionally,O
D2,slow,B-FEATURE
D2,down,I-FEATURE
D2,responses,I-FEATURE
D2,to,O
D2,this,O
D2,kind,O
D2,of,O
D2,traffic,B-DATA
D2,to,O
D2,avoid,O
D2,being,O
D2,overwhelmed,O
,,
D2,Machines,B-SYSTEM
D2,running,O
D2,Windows,B-SYSTEM
